"date","weight_kg","calories_intake","calories_burned","steps","water_ml","sleep_hours","exercise_type","exercise_duration_min","systolic_bp","diastolic_bp","heart_rate","mood"
2024-01-01,78.5,2100,350,6200,1800,7,"Walking",30,120,80,72,"Good"
2024-01-02,78.3,1950,420,8500,2000,7.5,"Running",45,118,78,75,"Great"
2024-01-03,78.6,2300,200,4100,1500,6,"Rest",0,122,82,70,"Okay"
2024-01-04,78.4,2050,380,7800,2200,8,"Cycling",40,119,79,73,"Good"
2024-01-05,78.1,1900,500,10200,2500,7.5,"Running",60,117,77,78,"Great"
2024-01-06,78,2200,300,5500,1900,6.5,"Yoga",35,121,81,68,"Good"
2024-01-07,77.9,1850,450,9000,2100,8,"Swimming",50,116,76,80,"Great"
2024-01-08,77.7,2000,400,7500,2300,7,"Walking",40,118,78,72,"Good"
2024-01-09,77.8,2150,320,6000,1700,6.5,"Rest",0,120,80,71,"Okay"
2024-01-10,77.5,1980,480,9800,2400,7.5,"Running",55,117,77,76,"Great"
2024-01-11,77.3,1900,430,8200,2200,8,"Cycling",45,116,76,74,"Good"
2024-01-12,77.4,2100,280,5000,1600,6,"Rest",0,122,82,70,"Okay"
2024-01-13,77.2,1850,520,10500,2600,7.5,"Running",60,115,75,79,"Great"
2024-01-14,77,2000,370,7200,2000,7,"Walking",35,118,78,73,"Good"
2024-01-15,76.9,1950,410,8800,2100,8,"Yoga",40,117,77,69,"Great"
2024-01-16,76.7,2050,450,9200,2300,7.5,"Swimming",50,116,76,77,"Good"
2024-01-17,76.8,2200,300,5800,1800,6.5,"Rest",0,121,81,71,"Okay"
2024-01-18,76.5,1900,490,9600,2400,7,"Running",55,115,75,78,"Great"
2024-01-19,76.3,1980,380,7400,2100,7.5,"Cycling",40,117,77,74,"Good"
2024-01-20,76.2,2100,320,6100,1900,6,"Rest",0,120,80,70,"Okay"
2024-01-21,76,1850,530,10800,2700,8,"Running",65,114,74,80,"Great"
2024-01-22,75.9,2000,400,8000,2200,7.5,"Walking",45,117,77,73,"Good"
2024-01-23,75.8,1950,440,8700,2300,7,"Yoga",45,116,76,68,"Good"
2024-01-24,75.6,2050,470,9300,2400,8,"Cycling",50,115,75,75,"Great"
2024-01-25,75.7,2250,280,5200,1700,6,"Rest",0,123,83,71,"Okay"
2024-01-26,75.4,1900,510,10100,2500,7.5,"Running",60,114,74,79,"Great"
2024-01-27,75.2,2000,390,7900,2100,7,"Swimming",45,116,76,76,"Good"
2024-01-28,75.1,1950,420,8400,2200,8,"Walking",40,117,77,72,"Good"
2024-01-29,74.9,1880,490,9700,2400,7.5,"Running",55,115,75,77,"Great"
2024-01-30,74.8,2100,350,6800,2000,7,"Cycling",35,118,78,73,"Good"
2024-02-01,74.6,2000,400,8100,2200,7.5,"Running",50,116,76,75,"Good"
2024-02-02,74.5,1900,450,9000,2300,8,"Swimming",50,115,75,78,"Great"
2024-02-03,74.7,2200,300,5500,1800,6,"Rest",0,121,81,70,"Okay"
2024-02-04,74.4,1950,480,9500,2400,7.5,"Running",55,114,74,79,"Great"
2024-02-05,74.2,2050,380,7600,2100,7,"Cycling",40,116,76,73,"Good"
2024-02-06,74.1,1900,430,8300,2200,7.5,"Walking",45,115,75,71,"Good"
2024-02-07,73.9,1850,510,10300,2600,8,"Running",60,113,73,80,"Great"
2024-02-08,73.8,2100,360,6900,2000,7,"Yoga",40,117,77,68,"Good"
2024-02-09,73.7,1980,420,8500,2200,7.5,"Cycling",45,115,75,74,"Good"
2024-02-10,73.5,1900,490,9800,2500,8,"Running",55,113,73,78,"Great"
2024-02-11,73.4,2050,350,6700,1900,6.5,"Rest",0,118,78,70,"Okay"
2024-02-12,73.6,2200,290,5300,1700,6,"Rest",0,122,82,71,"Okay"
2024-02-13,73.3,1880,520,10600,2700,7.5,"Running",65,112,72,81,"Great"
2024-02-14,73.1,2000,400,8000,2200,7,"Walking",40,115,75,73,"Good"
2024-02-15,73,1950,440,8800,2300,8,"Swimming",50,114,74,76,"Great"
2024-02-16,72.8,2050,460,9200,2400,7.5,"Cycling",50,113,73,75,"Good"
2024-02-17,72.9,2250,280,5100,1700,6,"Rest",0,121,81,70,"Okay"
2024-02-18,72.6,1900,510,10200,2600,7.5,"Running",60,112,72,79,"Great"
2024-02-19,72.5,2000,390,7800,2100,7,"Walking",40,114,74,72,"Good"
2024-02-20,72.3,1950,430,8600,2200,7.5,"Yoga",45,113,73,68,"Good"
2024-02-21,72.2,2100,370,7300,2000,7,"Cycling",40,115,75,74,"Good"
2024-02-22,72,1880,500,9900,2500,8,"Running",55,111,71,78,"Great"
2024-02-23,71.9,2000,380,7600,2100,7.5,"Swimming",45,113,73,76,"Good"
2024-02-24,71.8,1950,420,8400,2300,7,"Walking",40,114,74,72,"Good"
2024-02-25,71.6,1900,460,9100,2400,8,"Running",50,112,72,77,"Great"
2024-02-26,71.7,2150,310,6000,1800,6.5,"Rest",0,117,77,71,"Okay"
2024-02-27,71.4,1880,490,9600,2500,7.5,"Cycling",55,111,71,75,"Great"
2024-02-28,71.3,2000,420,8200,2200,7,"Walking",45,113,73,73,"Good"
2024-03-01,71.1,1950,450,9000,2300,8,"Running",50,112,72,76,"Great"
2024-03-02,71,2050,400,8100,2200,7.5,"Swimming",45,113,73,74,"Good"
2024-03-03,70.9,2200,290,5400,1800,6,"Rest",0,119,79,70,"Okay"
2024-03-04,70.7,1900,510,10200,2600,7.5,"Running",60,111,71,79,"Great"
2024-03-05,70.6,2000,390,7900,2100,7,"Cycling",40,113,73,73,"Good"
2024-03-06,70.4,1950,440,8700,2300,7.5,"Walking",45,112,72,71,"Good"
2024-03-07,70.3,1880,520,10500,2700,8,"Running",65,110,70,80,"Great"
2024-03-08,70.2,2100,360,7100,2000,7,"Yoga",40,114,74,68,"Good"
2024-03-09,70,2000,430,8500,2200,7.5,"Cycling",45,112,72,74,"Good"
2024-03-10,69.9,1900,490,9800,2500,8,"Running",55,110,70,78,"Great"
2026-04-20,70,2000,300,7000,2000,7.5,"Running",30,120,80,72,"Great"
2026-04-20,70,2000,300,7000,2000,7.5,"Running",30,120,80,72,"Great"
